DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2014-2015 Regular Season,10/28/2014,Tobias Harris,SF,Orlando,New Orleans,R,36.6,9,18,1,2,6,6,2,6,8,0,2,1,4,0,25
2014-2015 Regular Season,10/28/2014,Kyle O'Quinn,PF,Orlando,New Orleans,R,21.4,2,8,0,1,0,0,0,2,2,5,4,1,1,3,4
2014-2015 Regular Season,10/28/2014,Nikola Vucevic,C,Orlando,New Orleans,R,35.1,7,15,0,0,1,2,5,18,23,1,2,1,1,4,15
2014-2015 Regular Season,10/28/2014,Evan Fournier,SG,Orlando,New Orleans,R,32.3,3,11,2,4,3,3,1,2,3,2,2,0,4,0,11
2014-2015 Regular Season,10/28/2014,Elfrid Payton,PG,Orlando,New Orleans,R,30.8,2,8,0,0,0,0,3,2,5,7,5,1,2,0,4
2014-2015 Regular Season,10/28/2014,Aaron Gordon,PF,Orlando,New Orleans,R,28.5,5,8,1,2,0,0,2,1,3,0,3,1,3,1,11
2014-2015 Regular Season,10/28/2014,Ben Gordon,SG,Orlando,New Orleans,R,23,1,8,0,2,3,4,0,4,4,1,3,0,0,0,5
2014-2015 Regular Season,10/28/2014,Luke Ridnour,PG,Orlando,New Orleans,R,17.2,0,3,0,0,2,2,0,2,2,1,2,0,2,0,2
2014-2015 Regular Season,10/28/2014,Dewayne Dedmon,C,Orlando,New Orleans,R,8.2,1,2,0,0,1,2,2,1,3,0,1,0,1,1,3
2014-2015 Regular Season,10/28/2014,Willie Green,SG,Orlando,New Orleans,R,4.1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0
2014-2015 Regular Season,10/28/2014,Devyn Marble,SG,Orlando,New Orleans,R,3,2,2,0,0,0,2,0,1,1,0,1,0,0,0,4
2014-2015 Regular Season,10/28/2014,Tyreke Evans,SF,New Orleans,Orlando,H,34.7,5,15,0,1,2,5,2,7,9,6,0,0,0,0,12
2014-2015 Regular Season,10/28/2014,Anthony Davis,PF,New Orleans,Orlando,H,36.3,10,22,0,0,6,9,9,8,17,2,1,3,0,9,26
2014-2015 Regular Season,10/28/2014,Omer Asik,C,New Orleans,Orlando,H,33.5,7,10,0,0,0,3,7,10,17,2,4,0,3,5,14
2014-2015 Regular Season,10/28/2014,Eric Gordon,SG,New Orleans,Orlando,H,31.5,3,8,1,2,1,3,0,4,4,0,1,2,3,2,8
2014-2015 Regular Season,10/28/2014,Jrue Holiday,PG,New Orleans,Orlando,H,27,4,11,0,3,0,0,0,2,2,4,2,3,2,1,8
2014-2015 Regular Season,10/28/2014,Ryan Anderson,PF,New Orleans,Orlando,H,22.4,9,22,3,6,1,3,7,2,9,0,2,0,0,0,22
2014-2015 Regular Season,10/28/2014,John Salmons,SF,New Orleans,Orlando,H,9.5,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0
2014-2015 Regular Season,10/28/2014,Jimmer Fredette,PG,New Orleans,Orlando,H,17.8,0,6,0,3,2,2,0,0,0,2,3,1,0,0,2
2014-2015 Regular Season,10/28/2014,Austin Rivers,SG,New Orleans,Orlando,H,19.8,2,5,0,2,3,6,0,1,1,3,1,1,0,0,7
2014-2015 Regular Season,10/28/2014,Jeff Withey,C,New Orleans,Orlando,H,2.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
2014-2015 Regular Season,10/28/2014,Luke Babbitt,SF,New Orleans,Orlando,H,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-2015 Regular Season,10/28/2014,Alexis Ajinca,C,New Orleans,Orlando,H,2.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
2014-2015 Regular Season,10/28/2014,Chandler Parsons,SF,Dallas,San Antonio,R,33.8,2,10,1,4,0,0,0,4,4,0,2,2,1,1,5
2014-2015 Regular Season,10/28/2014,Dirk Nowitzki,PF,Dallas,San Antonio,R,31.7,7,11,0,1,4,4,2,4,6,2,4,1,1,0,18
2014-2015 Regular Season,10/28/2014,Tyson Chandler,C,Dallas,San Antonio,R,27.8,4,8,0,0,0,0,3,7,10,0,5,2,1,0,8
2014-2015 Regular Season,10/28/2014,Monta Ellis,SG,Dallas,San Antonio,R,37.2,11,21,1,2,3,4,1,3,4,6,0,1,3,0,26
2014-2015 Regular Season,10/28/2014,Jameer Nelson,PG,Dallas,San Antonio,R,30.5,3,7,3,5,0,0,0,0,0,3,1,1,0,1,9
2014-2015 Regular Season,10/28/2014,Greg Smith,PF,Dallas,San Antonio,R,2.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-2015 Regular Season,10/28/2014,Devin Harris,PG,Dallas,San Antonio,R,29.1,6,12,2,5,3,4,0,0,0,5,1,2,1,0,17
2014-2015 Regular Season,10/28/2014,Brandan Wright,PF,Dallas,San Antonio,R,18.1,2,2,0,0,2,2,1,4,5,0,2,0,0,1,6
2014-2015 Regular Season,10/28/2014,Al-Farouq Aminu,SF,Dallas,San Antonio,R,5.5,0,2,0,2,0,0,1,1,2,0,1,0,1,0,0
